"id","imei","commandId","timestamp","latitude","longitude","recordIndex","timestampExtension","recordExtension","priority","altitude","angle","satellites","speed","hdop","eventId","punto","ioElements","processedAt","createdAt","updatedAt"
1,"868018070237402",68,"2025-06-25 00:47:02+00","-16.4103100","-71.5309216",0,0,0,0,"2345.8","55.4",5,0,"2.0",7,"0101000020E61000005C2F979EFAE151C0C5387F130A6930C0","{""1"":{},""2"":{},""4"":{},""8"":{}}","2025-06-25 00:47:48.752+00","2025-06-25 00:47:48.754+00","2025-06-25 00:47:48.754+00"
2,"868018070237402",68,"2025-06-25 00:48:02+00","-16.4102800","-71.5308633",0,0,0,0,"2348.1","137.7",7,0,"1.5",7,"0101000020E6100000620910AAF9E151C0F0332E1C086930C0","{""1"":{},""2"":{},""4"":{},""8"":{}}","2025-06-25 00:48:52.267+00","2025-06-25 00:48:52.267+00","2025-06-25 00:48:52.267+00"
3,"868018070237402",68,"2025-06-25 00:49:02+00","-16.4102800","-71.5309516",0,0,0,0,"2345.4","357.5",8,0,"1.4",7,"0101000020E610000091706B1CFBE151C0F0332E1C086930C0","{""1"":{},""2"":{},""4"":{},""8"":{}}","2025-06-25 00:49:55.467+00","2025-06-25 00:49:55.467+00","2025-06-25 00:49:55.467+00"
4,"868018070237402",68,"2025-06-25 00:50:02+00","-16.4102833","-71.5309150",0,0,0,0,"2344.5","191.4",9,0,"1.2",7,"0101000020E61000002C7DE882FAE151C04F988B53086930C0","{""1"":{},""2"":{},""4"":{},""8"":{}}","2025-06-25 00:50:02.858+00","2025-06-25 00:50:02.859+00","2025-06-25 00:50:02.859+00"
5,"868018070237402",68,"2025-06-25 00:51:02+00","-16.4102916","-71.5309033",0,0,0,0,"2347.5","122.1",10,0,"1.1",7,"0101000020E6100000AAB5D551FAE151C0D2D2CBDE086930C0","{""1"":{},""2"":{},""4"":{},""8"":{}}","2025-06-25 00:52:02.129+00","2025-06-25 00:52:02.13+00","2025-06-25 00:52:02.13+00"
6,"868018070237402",68,"2025-06-25 00:52:02+00","-16.4102683","-71.5308333",0,0,0,0,"2349.6","141.1",9,0,"1.2",7,"0101000020E61000002DC83B2CF9E151C0E415E357076930C0","{""1"":{},""2"":{},""4"":{},""8"":{}}","2025-06-25 00:52:02.647+00","2025-06-25 00:52:02.652+00","2025-06-25 00:52:02.652+00"
7,"868018070237402",68,"2025-06-25 00:53:02+00","-16.4102766","-71.5308483",0,0,0,0,"2350.7","333.7",11,0,"1.0",7,"0101000020E6100000C8E8256BF9E151C0675023E3076930C0","{""1"":{},""2"":{},""4"":{},""8"":{}}","2025-06-25 00:53:05.723+00","2025-06-25 00:53:05.724+00","2025-06-25 00:53:05.724+00"
8,"868018070237402",68,"2025-06-25 00:54:02+00","-16.4102866","-71.5308800",0,0,0,0,"2350.7","65.1",13,0,"1.0",7,"0101000020E61000006E861BF0F9E151C0AEFCE88A086930C0","{""1"":{},""2"":{},""4"":{},""8"":{}}","2025-06-25 00:54:08.94+00","2025-06-25 00:54:08.94+00","2025-06-25 00:54:08.94+00"
9,"868018070237402",68,"2025-06-25 00:55:02+00","-16.4102683","-71.5308966",0,0,0,0,"2348.5","56.0",16,0,"0.7",7,"0101000020E6100000B0A3BB35FAE151C0E415E357076930C0","{""1"":{},""2"":{},""4"":{},""8"":{}}","2025-06-25 00:55:12.378+00","2025-06-25 00:55:12.379+00","2025-06-25 00:55:12.379+00"
10,"868018070237402",68,"2025-06-25 00:56:02+00","-16.4102516","-71.5308900",0,0,0,0,"2346.7","91.8",15,0,"0.7",7,"0101000020E610000080F10C1AFAE151C0B521B53F066930C0","{""1"":{},""2"":{},""4"":{},""8"":{}}","2025-06-25 00:56:15.704+00","2025-06-25 00:56:15.704+00","2025-06-25 00:56:15.704+00"
